organism,candidate,mean_did,z,above_control_p95,rank,control_mean,control_p95,top_margin_z
organism-b,chicago,-0.6939794884787666,-0.0935144712449096,False,28,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,boston,-0.6516762044694688,0.4922836878620976,False,17,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,los_angeles,-0.7780698670281304,-1.2579628138842658,False,43,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,nixon,-0.6761610640419854,0.1532276074778576,False,22,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,thatcher,-0.6725891298717923,0.20269025583609457,False,21,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,bush,-0.6224407222535875,0.8971244009118183,False,13,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,kennedy,-0.6199734210968018,0.9312905539530338,False,10,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,lenin,-0.5953396823671129,1.2724082505508467,False,4,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,mao,-0.5378789107004801,2.068100950337072,False,1,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,trotsky,-0.57475831773546,1.5574103678919597,False,2,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,putin,-0.7315162022908529,-0.6133071626400708,False,37,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,christianity,-0.5906894074545966,1.336803309868104,False,3,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,protestantism,-0.6126122739579942,1.0332246364673254,False,9,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,orthodoxy,-0.7181385887993706,-0.4280595739461768,False,32,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,islam,-0.5979154772228665,1.2367397222066607,False,5,-0.6720979699382076,0.12693998813629018,0.5106905824451122
organism-b,usa,-0.6204854514863756,0.9242001715715322,False,11,-0.6720979699382076,0.12693998813629018,0.5106905824451122
